"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","TIME_PERIOD","OBS_VALUE","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2008","71.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Afghanistan","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2010","72.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Afghanistan","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2012","26.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Afghanistan","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2015","67.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Afghanistan","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2017","52.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Afghanistan","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2019","50.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Afghanistan","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2021","70.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Afghanistan","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2023","123.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Afghanistan","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ALB","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2006","49.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Albania","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ALB","IBP_OBS_RANK","_Z","_Z","_Z","RANK","_Z","_Z","_Z","2008","49.0","RANK","2","IBP_OBS","602","0","A","PU","Annual","Albania","Open Budget Index Rank","Not applicable","Not applicable","Not applicable","Rank","Not Applicable","Not Applicable","Not Applicable","Rank","Two","Open Budget Survey","CCYY","Units","Normal value","Public"
